State,Stations,Time Frame,Year,State Trend Sign,Table Name,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Percent Change,State Trend Line,State Trend Line Intercept,State Trends
NC,,Winter (DJF),2009,+,StateAvgPv2.txt,2020,1979,8.45,8.45,2009,0.04,11.241639024,2.436081256,0.00
NC,,Winter (DJF),1994,+,StateAvgPv2.txt,2020,1979,12.32,12.32,1994,0.04,11.175893197,2.436081256,0.00
NC,,Winter (DJF),2018,+,StateAvgPv2.txt,2020,1979,9.72,9.72,2018,0.04,11.281086520,2.436081256,0.00
NC,,Winter (DJF),1997,+,StateAvgPv2.txt,2020,1979,11.35,11.35,1997,0.04,11.189042362,2.436081256,0.00
NC,,Winter (DJF),1982,+,StateAvgPv2.txt,2020,1979,16.27,16.27,1982,0.04,11.123296535,2.436081256,0.00
NC,,Winter (DJF),2014,+,StateAvgPv2.txt,2020,1979,12.01,12.01,2014,0.04,11.263554299,2.436081256,0.00
NC,,Winter (DJF),2019,+,StateAvgPv2.txt,2020,1979,15.9,15.90,2019,0.04,11.285469575,2.436081256,0.00
NC,,Winter (DJF),2000,+,StateAvgPv2.txt,2020,1979,8.83,8.83,2000,0.04,11.202191528,2.436081256,0.00
NC,,Winter (DJF),1999,+,StateAvgPv2.txt,2020,1979,12.86,12.86,1999,0.04,11.197808472,2.436081256,0.00
NC,,Winter (DJF),2016,+,StateAvgPv2.txt,2020,1979,15.92,15.92,2016,0.04,11.272320410,2.436081256,0.00
NC,,Winter (DJF),2010,+,StateAvgPv2.txt,2020,1979,15.86,15.86,2010,0.04,11.246022079,2.436081256,0.00
NC,,Winter (DJF),1987,+,StateAvgPv2.txt,2020,1979,15.04,15.04,1987,0.04,11.145211811,2.436081256,0.00
NC,,Winter (DJF),1979,+,StateAvgPv2.txt,2020,1979,15.08,15.08,1979,0.04,11.110147370,2.436081256,0.00
NC,,Winter (DJF),2017,+,StateAvgPv2.txt,2020,1979,8.34,8.34,2017,0.04,11.276703465,2.436081256,0.00
NC,,Winter (DJF),1990,+,StateAvgPv2.txt,2020,1979,12.19,12.19,1990,0.04,11.158360976,2.436081256,0.00
NC,,Winter (DJF),2011,+,StateAvgPv2.txt,2020,1979,7.38,7.38,2011,0.04,11.250405134,2.436081256,0.00
NC,,Winter (DJF),1993,+,StateAvgPv2.txt,2020,1979,12.2,12.20,1993,0.04,11.171510142,2.436081256,0.00
NC,,Winter (DJF),1996,+,StateAvgPv2.txt,2020,1979,9.93,9.93,1996,0.04,11.184659307,2.436081256,0.00
NC,,Winter (DJF),2012,+,StateAvgPv2.txt,2020,1979,7.53,7.53,2012,0.04,11.254788189,2.436081256,0.00
NC,,Winter (DJF),1980,+,StateAvgPv2.txt,2020,1979,7.82,7.82,1980,0.04,11.114530425,2.436081256,0.00
NC,,Winter (DJF),2005,+,StateAvgPv2.txt,2020,1979,8.05,8.05,2005,0.04,11.224106803,2.436081256,0.00
NC,,Winter (DJF),1983,+,StateAvgPv2.txt,2020,1979,13.84,13.84,1983,0.04,11.127679590,2.436081256,0.00
NC,,Winter (DJF),1991,+,StateAvgPv2.txt,2020,1979,10.61,10.61,1991,0.04,11.162744031,2.436081256,0.00
NC,,Winter (DJF),2003,+,StateAvgPv2.txt,2020,1979,11.96,11.96,2003,0.04,11.215340693,2.436081256,0.00
NC,,Winter (DJF),1992,+,StateAvgPv2.txt,2020,1979,10.46,10.46,1992,0.04,11.167127086,2.436081256,0.00
NC,,Winter (DJF),2015,+,StateAvgPv2.txt,2020,1979,11.21,11.21,2015,0.04,11.267937355,2.436081256,0.00
NC,,Winter (DJF),2004,+,StateAvgPv2.txt,2020,1979,9.6,9.60,2004,0.04,11.219723748,2.436081256,0.00
NC,,Winter (DJF),1984,+,StateAvgPv2.txt,2020,1979,15.97,15.97,1984,0.04,11.132062645,2.436081256,0.00
NC,,Winter (DJF),2020,+,StateAvgPv2.txt,2020,1979,15.95,15.95,2020,0.04,11.289852630,2.436081256,0.00
NC,,Winter (DJF),1998,+,StateAvgPv2.txt,2020,1979,18.17,18.17,1998,0.04,11.193425417,2.436081256,0.00
NC,,Winter (DJF),1988,+,StateAvgPv2.txt,2020,1979,8.98,8.98,1988,0.04,11.149594866,2.436081256,0.00
NC,,Winter (DJF),2013,+,StateAvgPv2.txt,2020,1979,13.14,13.14,2013,0.04,11.259171244,2.436081256,0.00
NC,,Winter (DJF),2008,+,StateAvgPv2.txt,2020,1979,9.99,9.99,2008,0.04,11.237255969,2.436081256,0.00
NC,,Winter (DJF),2001,+,StateAvgPv2.txt,2020,1979,6.7,6.70,2001,0.04,11.206574583,2.436081256,0.00
NC,,Winter (DJF),1981,+,StateAvgPv2.txt,2020,1979,6.71,6.71,1981,0.04,11.118913480,2.436081256,0.00
NC,,Winter (DJF),1989,+,StateAvgPv2.txt,2020,1979,8.44,8.44,1989,0.04,11.153977921,2.436081256,0.00
NC,,Winter (DJF),2007,+,StateAvgPv2.txt,2020,1979,9.21,9.21,2007,0.04,11.232872914,2.436081256,0.00
NC,,Winter (DJF),2002,+,StateAvgPv2.txt,2020,1979,8.61,8.61,2002,0.04,11.210957638,2.436081256,0.00
NC,,Winter (DJF),1986,+,StateAvgPv2.txt,2020,1979,4.99,4.99,1986,0.04,11.140828756,2.436081256,0.00
NC,,Winter (DJF),1995,+,StateAvgPv2.txt,2020,1979,12.73,12.73,1995,0.04,11.180276252,2.436081256,0.00
NC,,Winter (DJF),2006,+,StateAvgPv2.txt,2020,1979,9.54,9.54,2006,0.04,11.228489858,2.436081256,0.00
NC,,Winter (DJF),1985,+,StateAvgPv2.txt,2020,1979,10.54,10.54,1985,0.04,11.136445701,2.436081256,0.00
